rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/explained_variance,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl
1459.9371,13371,983,428.18,13148160,107,0.8270581215620041,0.2558439127604167,0.0003,1060,0.2,0.03296263515949249,-0.006523263045801286,0.11925129322975409,-3.2703595911711454,0.027166607
1418.077,13496,983,414.24,13271040,108,0.8240362256765366,0.2612451171875,0.0003,1070,0.2,0.032688796520233154,-0.0069624675309023585,0.12507572951901239,-3.2575752256438135,0.027898008
1430.7354,13624,983,418.0,13393920,109,0.8447529673576355,0.26172281901041666,0.0003,1080,0.2,0.0699278935790062,-0.006494140710844173,0.13717010515082317,-3.2801382801060877,0.028506571
1450.9966,13750,982,427.86,13516800,110,0.8540943711996078,0.2651700846354167,0.0003,1090,0.2,0.024804841727018356,-0.006902360418498574,0.13404631421639351,-3.256709454494218,0.028280383
1443.4153,13877,982,422.08,13639680,111,0.8200975209474564,0.26093994140625,0.0003,1100,0.2,0.024449367076158524,-0.006118143436530469,0.13172189814329613,-3.2381260329733292,0.02770869
1454.342,14004,982,431.68,13762560,112,0.8738269656896591,0.26632242838541664,0.0003,1110,0.2,0.10004594922065735,-0.006468070181059981,0.12620447258203057,-3.2131220723564424,0.02878021
1488.8423,14128,982,436.62,13885440,113,0.7944765537977219,0.26140787760416667,0.0003,1120,0.2,0.01193968951702118,-0.006665109784335072,0.12840629826290145,-3.208225425630808,0.028108282
1449.0942,14252,982,429.68,14008320,114,0.8185164034366608,0.26367919921875,0.0003,1130,0.2,0.050521090626716614,-0.006445031080353753,0.15246215759669818,-3.195110136071841,0.02843577
1467.419,14380,982,430.16,14131200,115,0.8428912907838821,0.26448404947916665,0.0003,1140,0.2,0.01803908869624138,-0.006499166218103104,0.11932786821348904,-3.2060462567210197,0.0288591
1445.8414,14514,982,421.44,14254080,116,0.8666562139987946,0.2651847330729167,0.0003,1150,0.2,0.03187406808137894,-0.006460287871080558,0.14138506142277038,-3.1601300488164026,0.02917141
1501.053,14642,981,433.12,14376960,117,0.850867748260498,0.26561116536458335,0.0003,1160,0.2,0.023538772016763687,-0.006229244863825443,0.14039330398178815,-3.173830968973537,0.029133972
1474.4625,14770,981,425.3,14499840,118,0.8257513493299484,0.2657958984375,0.0003,1170,0.2,0.037883829325437546,-0.006447039295508148,0.135704568142343,-3.161062747351825,0.028387366
1489.4489,14897,981,427.48,14622720,119,0.8334509581327438,0.26788248697916667,0.0003,1180,0.2,0.004372678697109222,-0.006389773060521596,0.15519502466418392,-3.1503978932028014,0.028756807
1431.7527,15025,981,421.78,14745600,120,0.8457123637199402,0.2677294921875,0.0003,1190,0.2,0.13339906930923462,-0.007001927931105456,0.14464643324157805,-3.1483008175094924,0.029567055
1517.182,15153,981,440.98,14868480,121,0.8365895301103592,0.2664949544270833,0.0003,1200,0.2,0.026748312637209892,-0.006159375348797767,0.15948482484954488,-3.1424372647330165,0.029402593
1435.2478,15278,981,416.64,14991360,122,0.8657229989767075,0.25971354166666666,0.0003,1210,0.2,0.010370537638664246,-0.006321541152926026,0.14530976614546187,-3.1467510232453546,0.028089277
1455.5874,15402,981,421.68,15114240,123,0.848047137260437,0.26317708333333334,0.0003,1220,0.2,0.11538450419902802,-0.006638595693132932,0.14782863082247785,-3.122403492157658,0.028544242
1475.3336,15530,981,425.08,15237120,124,0.8735270947217941,0.26003824869791664,0.0003,1230,0.2,0.043384991586208344,-0.006471393524974094,0.1347832037853853,-3.132044685098032,0.028586693
1516.2087,15657,981,434.58,15360000,125,0.8218575119972229,0.26024983723958334,0.0003,1240,0.2,0.013974462635815144,-0.00608425484006754,0.13892187398586733,-3.117919693676134,0.028058743
1482.2217,15781,981,422.8,15482880,126,0.8208916783332825,0.26129638671875,0.0003,1250,0.2,0.02530689164996147,-0.006729264234788085,0.1301868391033107,-3.1450791371862095,0.028570507
1485.8639,15905,981,427.2,15605760,127,0.8055432140827179,0.26483561197916666,0.0003,1260,0.2,0.06521435081958771,-0.0062439499081665415,0.16204754241373545,-3.135433835424483,0.029093243
1474.825,16032,981,423.0,15728640,128,0.7940643876791,0.2633186848958333,0.0003,1270,0.2,0.011681558564305305,-0.006918755754692635,0.14001265191686496,-3.1349153939137855,0.029207636
1437.0072,16160,980,418.14,15851520,129,0.8208196014165878,0.2589697265625,0.0003,1280,0.2,0.017203835770487785,-0.006392213511890077,0.1234580297274321,-3.115364959537983,0.028302241
