time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range
8486,7741440,63,445.42,1088.919,912,0.6944994628429413,0.11445298461985658,0.020142318680882454,0.1164892578125,-0.0006630063136132473,3880,0.017698828,0.0003,-2.221589393665393,0.2
8621,7864320,64,450.0,1125.8727,912,0.75296650826931,0.1018170428732022,0.007596745155751705,0.12467692057291667,-0.0012730502206735157,3890,0.027787473,0.0003,-2.106852199745675,0.2
8753,7987200,65,450.0,1139.5779,912,0.8087501972913742,0.0963397159652474,0.05478481948375702,0.12775472005208333,-0.0016661674700420312,3900,0.024077456,0.0003,-2.1007652677906057,0.2
8887,8110080,66,450.0,1100.9413,912,0.7890073508024216,0.09929348434910935,0.07377775013446808,0.11389729817708333,-0.0005591223938426992,3910,0.017402263,0.0003,-2.2241250140716633,0.2
9022,8232960,67,450.0,1095.0776,912,0.7776038497686386,0.09848976984801994,0.06023609638214111,0.10558349609375,-0.00051985358105109,3920,0.015542805,0.0003,-2.2937751971992353,0.2
9155,8355840,68,450.0,1179.6989,912,0.8171091228723526,0.09320931513609443,0.0924835205078125,0.11400227864583333,-0.0009761348415001218,3930,0.020514019,0.0003,-2.2313790045368176,0.2
9317,8478720,69,450.0,1172.8065,909,0.8284139484167099,0.09026579960200858,0.022223174571990967,0.11510009765625,-0.0009705410602752333,3940,0.017708544,0.0003,-2.2969241866096852,0.2
9478,8601600,70,450.0,1168.1748,907,0.7862612009048462,0.11127500853971772,0.06688117980957031,0.11153971354166667,-0.0012250205470991204,3950,0.01830734,0.0003,-2.276996538396925,0.2
9613,8724480,71,450.0,1166.172,907,0.724467396736145,0.11424479048655485,0.039387479424476624,0.11400634765625,-0.001027850467104751,3960,0.016659828,0.0003,-2.2134889974817633,0.2
9748,8847360,72,450.0,1137.2626,907,0.7323649525642395,0.12380681610724423,0.04943196475505829,0.12510660807291665,-0.0010773838771941276,3970,0.0178385,0.0003,-2.181102155620853,0.2
9883,8970240,73,450.0,1185.0607,907,0.7537970840930939,0.11011124024349556,0.041983626782894135,0.11248860677083333,-0.0008852345474527586,3980,0.01596623,0.0003,-2.283933636210859,0.2
10017,9093120,74,450.0,1133.7435,907,0.8297542929649353,0.09858850889727667,0.07738044857978821,0.1118017578125,-0.0007506559775265487,3990,0.017460706,0.0003,-2.2223861777596174,0.2
10150,9216000,75,450.0,1156.554,907,0.7964665442705154,0.09581960860113516,0.028750548139214516,0.11117350260416667,-0.0011763755687206868,4000,0.015334393,0.0003,-2.276407918470601,0.2
10284,9338880,76,450.0,1156.7136,908,0.7310301661491394,0.12672641670319232,0.16649234294891357,0.12468587239583333,-0.0012853228642855658,4010,0.019783283,0.0003,-2.1587086104849975,0.2
10417,9461760,77,450.0,1171.4402,908,0.7551917433738708,0.12592624537923258,0.06689389050006866,0.12164713541666666,-0.0009888402949400188,4020,0.01933887,0.0003,-2.160757548821469,0.2
10550,9584640,78,450.0,1146.8943,908,0.7640030980110168,0.13782576748005038,0.023256270214915276,0.12307454427083334,-0.0004241794266696767,4030,0.016137492,0.0003,-2.2116933028089503,0.2
10683,9707520,79,450.0,1157.1532,908,0.8102796822786331,0.10922334624890936,0.024396726861596107,0.1063037109375,-0.0011066968679854957,4040,0.022191733,0.0003,-2.3173433698341253,0.2
10819,9830400,80,450.0,1205.4965,908,0.773875281214714,0.12213482938105395,0.028588157147169113,0.10275065104166667,-0.00025233397377936247,4050,0.012575389,0.0003,-2.2979590466742716,0.2
10952,9953280,81,450.0,1239.0791,908,0.7783903777599335,0.12264055443078783,0.08327804505825043,0.11737141927083333,-0.0007530665631505447,4060,0.017533867,0.0003,-2.229277805474897,0.2
11088,10076160,82,450.0,1150.8665,908,0.7784242630004883,0.11832907305630215,0.05858134850859642,0.12591227213541667,-0.0008135281377690262,4070,0.014861961,0.0003,-2.2513471192059415,0.2
