rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction
1488.3185,10960,10321920,84,941,424.38,-0.006812603619115786,0.028189626,830,0.2,0.7774066478013992,0.012065384536981583,0.12094847320433473,0.0003,-3.2656727720672887,0.2720182291666667
1468.7551,11088,10444800,85,941,417.16,-0.006492037640661389,0.028849304,840,0.2,0.8083489388227463,0.017111510038375854,0.1267009883225546,0.0003,-3.2395539026334883,0.2724226888020833
1461.8298,11219,10567680,86,941,417.72,-0.006912555296845918,0.028907776,850,0.2,0.8086715042591095,-0.003695826977491379,0.12307209509812916,0.0003,-3.2218779348085325,0.2740022786458333
1430.5658,11347,10690560,87,942,407.44,-0.006001303573514936,0.02743369,860,0.2,0.8079648464918137,0.14200103282928467,0.15466914585102737,0.0003,-3.2237829347575704,0.26843994140625
1460.3785,11479,10813440,88,942,412.38,-0.007364774926148432,0.029300164,870,0.2,0.8048100173473358,0.027124280110001564,0.131711222139323,0.0003,-3.2199477192759516,0.2784879557291667
1523.6145,11607,10936320,89,942,430.08,-0.006771970472097261,0.02873502,880,0.2,0.7804761826992035,0.06288498640060425,0.1434305904902673,0.0003,-3.2247111192469795,0.27630452473958333
1479.7716,11736,11059200,90,942,413.48,-0.006488273732375091,0.0289573,890,0.2,0.7224704325199127,0.011704492382705212,0.11740548907973182,0.0003,-3.218877289754649,0.2729060872395833
1550.9825,11866,11182080,91,942,436.58,-0.006942511284163023,0.028266966,900,0.2,0.7576618641614914,0.053058162331581116,0.13565410681738285,0.0003,-3.207419422765573,0.2727913411458333
1421.8063,11995,11304960,92,942,406.5,-0.0063923347546976095,0.029205473,910,0.2,0.764127105474472,0.035476263612508774,0.11987292671760466,0.0003,-3.2014291137705246,0.2766593424479167
1514.4409,12126,11427840,93,942,425.46,-0.007142267187233908,0.028699402,920,0.2,0.8067024499177933,0.025523513555526733,0.12660348780375594,0.0003,-3.216799252604445,0.27551920572916666
1493.9603,12256,11550720,94,942,419.36,-0.007305222626631197,0.028464746,930,0.2,0.7836347818374634,0.05328233912587166,0.11271778455236926,0.0003,-3.208379907011986,0.27213704427083335
1498.9346,12386,11673600,95,942,418.96,-0.00692331169667644,0.028578285,940,0.2,0.788272351026535,0.010234230197966099,0.13110041553736665,0.0003,-3.2013583054890233,0.27412841796875
1478.5507,12515,11796480,96,942,418.86,-0.007008283104720855,0.029408975,950,0.2,0.8024536669254303,0.04966751113533974,0.1289255244351807,0.0003,-3.1820877459272743,0.27556803385416667
1483.0316,12647,11919360,97,942,412.06,-0.006487127461289977,0.028348723,960,0.2,0.8146985024213791,0.011096149682998657,0.11745765794922287,0.0003,-3.166998649065693,0.26902587890625
