time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/explained_variance,train/approx_kl,train/n_updates,train/clip_fraction,train/policy_gradient_loss
959,10321920,435.56,1457.7952,10760,84,0.2,0.052122700959444046,-3.3382997078076007,0.12709357648108077,0.0003,0.830145850777626,0.028229982,830,0.2710652669270833,-0.007064260010156431
959,10444800,421.64,1413.7152,10888,85,0.2,0.023091930896043777,-3.3237039951235055,0.10846226866798436,0.0003,0.8018821030855179,0.028612848,840,0.27250569661458335,-0.007403358750413341
959,10567680,431.12,1443.5933,11015,86,0.2,0.05691737309098244,-3.327251590962211,0.1267014591464734,0.0003,0.816663458943367,0.028677817,850,0.27658203125,-0.007632365527063788
959,10690560,419.34,1404.8103,11145,87,0.2,0.008727449923753738,-3.325629225981732,0.11756692135109915,0.0003,0.8468475937843323,0.02769951,860,0.27055419921875,-0.007427429788743514
959,10813440,427.52,1455.9419,11273,88,0.2,0.04987800121307373,-3.2985579855243365,0.11733069521986181,0.0003,0.8617854863405228,0.029016273,870,0.27692789713541666,-0.007107640830975773
958,10936320,413.08,1388.6438,11406,89,0.2,0.05130724608898163,-3.31923610723267,0.1190904706636987,0.0003,0.8730635493993759,0.02865096,880,0.27376708984375,-0.007545014823432818
958,11059200,426.5,1449.9625,11538,90,0.2,0.014178216457366943,-3.3111847675343355,0.11601303216060235,0.0003,0.8847603872418404,0.028152743,890,0.27021240234375,-0.0070997214761943424
958,11182080,402.0,1353.4219,11664,91,0.2,0.034632228314876556,-3.288521929147343,0.12397893065567284,0.0003,0.8409664481878281,0.02876949,900,0.27487548828125,-0.007364230292405409
958,11304960,410.14,1390.083,11793,92,0.2,0.08595030754804611,-3.273583662112554,0.11719260070861007,0.0003,0.8972575217485428,0.028347585,910,0.2710880533854167,-0.006964030214558079
957,11427840,429.68,1441.2465,11934,93,0.2,-0.005141593515872955,-3.2607501676306128,0.13730779364142412,0.0003,0.8856387585401535,0.02924599,920,0.27402425130208335,-0.0066361935106821575
956,11550720,415.68,1413.5581,12070,94,0.2,0.016321569681167603,-3.227081024348736,0.11062253599836064,0.0003,0.8236788809299469,0.029355906,930,0.27972574869791667,-0.007325248743500197
956,11673600,426.06,1454.5452,12200,95,0.2,0.035117387771606445,-3.2395138726880153,0.1270562054742186,0.0003,0.8796131685376167,0.02916948,940,0.27843668619791667,-0.007231176594080656
956,11796480,422.32,1441.7496,12328,96,0.2,0.06594977527856827,-3.2272442303349576,0.11926362814284706,0.0003,0.8648264110088348,0.029238103,950,0.27733805338541667,-0.007152399972734808
955,11919360,409.72,1368.3176,12469,97,0.2,0.04481231048703194,-3.2009084410468738,0.13922848582083436,0.0003,0.8899389281868935,0.029390415,960,0.2732438151041667,-0.006930498361410476
956,12042240,442.74,1500.5138,12596,98,0.2,0.044799260795116425,-3.218507085728149,0.13232093579494783,0.0003,0.8579922914505005,0.029636825,970,0.27723307291666666,-0.006889549420529875
956,12165120,411.06,1396.0637,12725,99,0.2,0.033550187945365906,-3.2346354931468766,0.11074143563416632,0.0003,0.823268324136734,0.028856348,980,0.27606852213541666,-0.007168583024883143
955,12288000,413.62,1408.8693,12855,100,0.2,0.016961555927991867,-3.2105152796084684,0.14332489472387047,0.0003,0.8183884769678116,0.028712634,990,0.27680094401041666,-0.006758732208933604
955,12410880,431.32,1471.3363,12983,101,0.2,0.1483173668384552,-3.1812064808607103,0.12139284839499548,0.0003,0.8563808649778366,0.02855539,1000,0.27191813151041666,-0.006680465113086029
954,12533760,424.1,1452.0272,13129,102,0.2,-0.0010846611112356186,-3.1859948411708077,0.11125819606905377,0.0003,0.8608500361442566,0.029249983,1010,0.27536458333333336,-0.007797255352731251
954,12656640,415.86,1409.179,13259,103,0.2,0.04092685878276825,-3.168429847496251,0.12625304480621707,0.0003,0.8317485749721527,0.02998963,1020,0.27762532552083335,-0.007389814039797784
954,12779520,389.1,1322.9784,13390,104,0.2,0.04104972258210182,-3.1781228819613654,0.1166873815774064,0.0003,0.8531050235033035,0.02900966,1030,0.27249837239583335,-0.007102029318205799
954,12902400,424.32,1455.1323,13520,105,0.2,0.033301156014204025,-3.1597978917136786,0.1593139756876432,0.0003,0.8761550858616829,0.029718706,1040,0.2755859375,-0.006830665928882809
954,13025280,419.98,1430.9027,13650,106,0.2,0.026768920943140984,-3.1609713094308973,0.12387579347201003,0.0003,0.8480922281742096,0.028400568,1050,0.2716455078125,-0.006804953865260662
954,13148160,408.54,1424.1708,13779,107,0.2,0.021770410239696503,-3.1211637163038053,0.1296746900958533,0.0003,0.8694574385881424,0.029845254,1060,0.27352294921875,-0.007292815311805801
953,13271040,411.78,1403.2584,13911,108,0.2,0.04117422550916672,-3.128699492836992,0.14187298299492493,0.0003,0.8580191731452942,0.029111031,1070,0.27132486979166665,-0.006713276696258011
953,13393920,424.88,1451.8029,14042,109,0.2,0.021399453282356262,-3.136818402620653,0.13187479563241747,0.0003,0.8102150857448578,0.029739412,1080,0.27383544921875,-0.007224140991766035
953,13516800,405.08,1383.8069,14170,110,0.2,0.023927440866827965,-3.1183756019299227,0.12386827914243137,0.0003,0.8406386822462082,0.028309437,1090,0.2687882486979167,-0.006560293930209203
953,13639680,405.04,1371.4756,14300,111,0.2,0.03494014963507652,-3.1299923475583395,0.14927450711965018,0.0003,0.8630946576595306,0.029460113,1100,0.2745556640625,-0.0069162430146874005
953,13762560,436.1,1490.1516,14431,112,0.2,0.09287906438112259,-3.1375565101082126,0.1232689733907076,0.0003,0.8342417180538177,0.029495874,1110,0.27054036458333336,-0.007032794119768368
953,13885440,419.2,1431.021,14561,113,0.2,0.01370135135948658,-3.138396714453896,0.13106897576042684,0.0003,0.8339195549488068,0.029193258,1120,0.2692431640625,-0.006936074735288761
953,14008320,428.44,1446.0435,14690,114,0.2,0.035263173282146454,-3.108624869994819,0.15280495654034895,0.0003,0.8745195716619492,0.029391745,1130,0.2688191731770833,-0.006904666273724918
953,14131200,414.16,1418.0386,14817,115,0.2,0.04459714516997337,-3.1146877586344877,0.11296166421554517,0.0003,0.8755327239632607,0.02825175,1140,0.2672119140625,-0.0065988421467894414
953,14254080,429.06,1456.3381,14945,116,0.2,0.044924281537532806,-3.0780810776725414,0.13265964475644676,0.0003,0.8709761947393417,0.029052816,1150,0.27127197265625,-0.0069172577530662235
953,14376960,389.1,1344.0312,15076,117,0.2,0.06198626011610031,-3.0716114699964723,0.1287139573393021,0.0003,0.860305443406105,0.02962881,1160,0.27215657552083333,-0.00688519615793363
953,14499840,418.12,1431.7228,15207,118,0.2,0.12139032781124115,-3.0467148858681323,0.154431466126116,0.0003,0.8645651042461395,0.029374722,1170,0.2703450520833333,-0.006607451124934111
953,14622720,403.48,1371.4836,15334,119,0.2,0.04767395183444023,-3.0416546585038304,0.1555474859091919,0.0003,0.8927048295736313,0.02907125,1180,0.26892171223958333,-0.006650742550943202
953,14745600,411.94,1399.7603,15464,120,0.2,-0.016466785222291946,-3.049044472860793,0.13699025699150905,0.0003,0.8922726064920425,0.02971852,1190,0.2739949544270833,-0.0071918983677611925
953,14868480,417.42,1430.3214,15594,121,0.2,0.029003571718931198,-3.0383251243829728,0.13842902109541078,0.0003,0.8813703432679176,0.0295609,1200,0.2714794921875,-0.006510317975750392
953,14991360,425.6,1473.9918,15722,122,0.2,0.04262349382042885,-3.017012967988849,0.15115540658084986,0.0003,0.8454050123691559,0.029937902,1210,0.27392740885416667,-0.006688329083335703
953,15114240,431.84,1490.845,15853,123,0.2,0.024018671363592148,-3.0424394097427525,0.14173108403959,0.0003,0.835697665810585,0.029994868,1220,0.2700699869791667,-0.006717811917830356
953,15237120,417.12,1435.5415,15983,124,0.2,0.0714767575263977,-3.035665986811121,0.12146325796672802,0.0003,0.8328325748443604,0.028979413,1230,0.26826578776041665,-0.006646536477249659
953,15360000,434.02,1503.4047,16112,125,0.2,-0.014402303844690323,-2.996817814956109,0.12837387036551567,0.0003,0.85181525349617,0.029420404,1240,0.26873128255208334,-0.006726455853828763
953,15482880,389.06,1372.3832,16240,126,0.2,0.04370442405343056,-3.0104958191886544,0.12548907743485566,0.0003,0.8728023916482925,0.02895696,1250,0.26985026041666665,-0.006854234742595508
953,15605760,428.26,1497.9517,16371,127,0.2,-0.007918082177639008,-2.997188168851038,0.1388201564202124,0.0003,0.8508458733558655,0.029479504,1260,0.2728450520833333,-0.0070034511413056555
953,15728640,417.1,1454.9786,16501,128,0.2,0.042584240436553955,-2.970631737696628,0.12546345555291433,0.0003,0.8760748654603958,0.029590225,1270,0.26873291015625,-0.006764989747046759
953,15851520,408.74,1423.4474,16630,129,0.2,0.020790446549654007,-2.988329649493098,0.11421886300183057,0.0003,0.8648914098739624,0.02890675,1280,0.2655135091145833,-0.007018365380608884
953,15974400,426.46,1478.977,16757,130,0.2,0.02322167530655861,-2.9899844985331097,0.13271596924115633,0.0003,0.8868238627910614,0.028883258,1290,0.26884765625,-0.007051261344031445
953,16097280,415.06,1425.8477,16886,131,0.2,0.01177293248474598,-2.980167972308894,0.12580249483968753,0.0003,0.8794021457433701,0.02872933,1300,0.26572021484375,-0.006901649691529504
953,16220160,409.02,1399.317,17015,132,0.2,0.04782592132687569,-2.975418089603384,0.13312045059516095,0.0003,0.8644687086343765,0.029727982,1310,0.27318766276041667,-0.007484382618616413
953,16343040,426.9,1460.9749,17148,133,0.2,0.05166952684521675,-2.9862619276344775,0.1174346452348982,0.0003,0.8728943020105362,0.028256038,1320,0.26147216796875,-0.006921303079925565
952,16465920,405.14,1400.8309,17278,134,0.2,0.048364587128162384,-2.9844031919166447,0.11662922039768697,0.0003,0.8373381942510605,0.02883061,1330,0.2605126953125,-0.006813079260567368
953,16588800,415.76,1443.4581,17406,135,0.2,0.05885119363665581,-2.9648715268323818,0.13776027403442034,0.0003,0.851298451423645,0.029526567,1340,0.26534912109375,-0.007283805452831681
953,16711680,436.0,1513.6978,17533,136,0.2,0.05850401893258095,-2.940068686430653,0.14915131002072787,0.0003,0.8708092719316483,0.02895256,1350,0.26732991536458334,-0.006531206502431814
953,16834560,426.54,1494.0114,17662,137,0.2,0.04495673254132271,-2.922730828014513,0.13256869304284918,0.0003,0.8690657019615173,0.02845654,1360,0.25998372395833336,-0.0068204360798214715
952,16957440,414.18,1445.8054,17794,138,0.2,0.07642056792974472,-2.9276634969562294,0.13878325215317697,0.0003,0.8447049856185913,0.028400805,1370,0.26036702473958334,-0.006607515372033959
952,17080320,422.28,1475.3315,17924,139,0.2,0.05569392815232277,-2.89326870650053,0.12741426338766662,0.0003,0.8526269495487213,0.027832543,1380,0.2570751953125,-0.006760268102664971
952,17203200,410.16,1408.5833,18055,140,0.2,0.0384647361934185,-2.865628969495495,0.14244018954467416,0.0003,0.8711758702993393,0.028487692,1390,0.2593693033854167,-0.006519555322405115
952,17326080,419.84,1454.1211,18184,141,0.2,0.024045204743742943,-2.8825940771400926,0.13053327457474856,0.0003,0.8691326975822449,0.0283555,1400,0.2618107096354167,-0.006713643341687808
952,17448960,412.86,1443.7948,18312,142,0.2,0.14565375447273254,-2.869660617932677,0.139840606416498,0.0003,0.8603002578020096,0.02834006,1410,0.25876220703125,-0.006235812694309667
