rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates
450.0,695.8887,15564800,54635,284,95,-4.683123022316848e-17,4.358412297733594e-11,0.8767108544707298,0.013424191623926163,0.0,0.05611929410009907,0.2,0.0003,0.0,940
450.0,697.7375,15728640,55235,284,96,-4.901057745165606e-17,3.4269760362803936e-11,0.8821598812937737,0.015033449046313763,0.0,0.056951434887287176,0.2,0.0003,0.0,950
450.0,699.427,15892480,55837,284,97,-5.952578021460987e-17,-1.7788011064112653e-10,0.8024304509162903,0.029232539236545563,0.0,0.061672940386906704,0.2,0.0003,0.0,960
450.0,701.32837,16056320,56436,284,98,-6.956756340274495e-17,-1.1760903362301178e-10,0.8680723309516907,0.05472496524453163,0.0,0.06753185761943314,0.2,0.0003,0.0,970
450.0,698.2491,16220160,57036,284,99,-6.144792635786725e-17,5.47038325748872e-11,0.8693851083517075,0.06115572899580002,0.0,0.06818242671353801,0.2,0.0003,0.0,980
450.0,693.6951,16384000,57641,284,100,-6.149378106588346e-17,-1.6315425455104558e-10,0.8565244525671005,0.004915514495223761,0.0,0.059066792661105864,0.2,0.0003,0.0,990
450.0,698.8059,16547840,58244,284,101,-5.4750841226002683e-17,1.372870883642463e-10,0.8707225322723389,0.029488470405340195,0.0,0.06769932813647755,0.2,0.0003,0.0,1000
450.0,695.54224,16711680,58884,283,102,-7.299419122007234e-17,5.214019438426476e-11,0.8897077292203903,0.01205388456583023,0.0,0.05510155536750972,0.2,0.0003,0.0,1010
450.0,700.09314,16875520,59477,283,103,-7.658110988621989e-17,-7.986386663105805e-11,0.8702703416347504,0.014284763485193253,0.0,0.06759973374868423,0.2,0.0003,0.0,1020
450.0,698.3111,17039360,60079,283,104,-6.351332217260733e-17,-2.6795987650984897e-11,0.8805944249033928,0.018348872661590576,0.0,0.055951029034058596,0.2,0.0003,0.0,1030
450.0,700.7683,17203200,60682,283,105,-6.841857021674467e-17,-5.290530680213124e-11,0.8764505460858345,0.010499969124794006,0.0,0.0704118160123653,0.2,0.0003,0.0,1040
450.0,701.2001,17367040,61287,283,106,-7.016199997007111e-17,-6.79779077472631e-11,0.8803574591875076,0.015327817760407925,0.0,0.06270298711993746,0.2,0.0003,0.0,1050
450.0,698.6647,17530880,61893,283,107,-6.008544380744748e-17,1.1690417522913776e-11,0.8367219120264053,0.03716994449496269,0.0,0.06862658760182967,0.2,0.0003,0.0,1060
450.0,692.23267,17694720,62488,283,108,-4.470099563114049e-17,7.667040335945785e-12,0.8909888863563538,0.027835480868816376,0.0,0.055568253156143325,0.2,0.0003,0.0,1070
450.0,697.26483,17858560,63088,283,109,-6.272130920210312e-17,-6.862137524876744e-11,0.8934852555394173,0.011540351435542107,0.0,0.05735155167270932,0.2,0.0003,0.0,1080
450.0,701.7001,18022400,63689,282,110,-6.558332171244501e-17,1.484295353293419e-11,0.8823160156607628,0.02652570605278015,0.0,0.062323010290783715,0.2,0.0003,0.0,1090
450.0,703.7171,18186240,64291,282,111,-5.098460765364328e-17,-1.336923105554888e-10,0.8951462134718895,0.015301346778869629,0.0,0.054321305326302534,0.2,0.0003,0.0,1100
450.0,695.70404,18350080,64889,282,112,-1.2974187623996522e-16,9.461132322030608e-11,0.8817120715975761,0.06303094327449799,0.0,0.06505447144041682,0.2,0.0003,0.0,1110
450.0,692.5104,18513920,65485,282,113,-5.616238575356478e-17,-8.341203283634969e-11,0.8801862522959709,0.020672347396612167,0.0,0.0568122419147403,0.2,0.0003,0.0,1120
450.0,697.7338,18677760,66084,282,114,-6.955946393712019e-17,1.5871250980126205e-10,0.8750742524862289,0.03540002554655075,0.0,0.06707629362257649,0.2,0.0003,0.0,1130
450.0,693.53357,18841600,66682,282,115,-6.338632333017986e-17,1.1166321201017126e-11,0.8830124884843826,0.011665334925055504,0.0,0.05891886882251129,0.2,0.0003,0.0,1140
450.0,697.1537,19005440,67279,282,116,-4.2410446508148114e-17,8.358369996130933e-11,0.864640086889267,0.022810958325862885,0.0,0.07249108515288753,0.2,0.0003,0.0,1150
450.0,696.19336,19169280,67879,282,117,-4.7219472050547013e-17,2.994624992425088e-11,0.8692563623189926,0.014228306710720062,0.0,0.06500865832700584,0.2,0.0003,0.0,1160
450.0,697.692,19333120,68479,282,118,-5.965026971674456e-17,-1.6785179468570278e-10,0.8626512587070465,0.011548774316906929,0.0,0.06742689780145156,0.2,0.0003,0.0,1170
450.0,693.408,19496960,69081,282,119,-4.347164221216328e-17,5.376591616368387e-11,0.8719520717859268,0.00882353913038969,0.0,0.06626708930201858,0.2,0.0003,0.0,1180
450.0,695.8312,19660800,69668,282,120,-1.0160483264626968e-14,4.828848432225641e-11,0.7971228659152985,0.12980808317661285,0.0,0.06569548067236611,0.2,0.0003,0.0,1190
450.0,697.4735,19824640,70266,282,121,-5.838561815071554e-17,-1.4114448276814073e-10,0.8800284191966057,0.048259392380714417,0.0,0.06857182212996121,0.2,0.0003,0.0,1200
450.0,699.0318,19988480,70868,282,122,-7.292555980725853e-17,-1.2063310350640677e-11,0.8925115391612053,0.017192315310239792,0.0,0.05524140789364537,0.2,0.0003,0.0,1210
450.0,700.5627,20152320,71463,281,123,-1.1047803726737265e-16,5.5520104069728406e-11,0.8855499103665352,0.01817585527896881,0.0,0.061873192499097056,0.2,0.0003,0.0,1220
450.0,696.79626,20316160,72085,281,124,-4.7523214783795376e-17,2.904585016949568e-11,0.8829886093735695,0.006149007007479668,0.0,0.05954127327666356,0.2,0.0003,0.0,1230
450.0,694.96936,20480000,72682,281,125,-7.849312377175045e-17,4.9843720262288117e-11,0.8691013902425766,0.041148893535137177,0.0,0.07197876793143224,0.2,0.0003,0.0,1240
450.0,691.7118,20643840,73283,281,126,-7.105587628837552e-17,4.1292196328868156e-11,0.8827847167849541,0.014306587167084217,0.0,0.05968749705349183,0.2,0.0003,0.0,1250
450.0,699.11523,20807680,73881,281,127,-8.727179598324783e-17,-7.746223218418891e-11,0.8797798305749893,0.030075158923864365,0.0,0.06870642345902525,0.2,0.0003,0.0,1260
450.0,700.7569,20971520,74489,281,128,-5.3024796311658474e-17,1.038154096022481e-10,0.8763811364769936,0.009827186353504658,0.0,0.06443202696606022,0.2,0.0003,0.0,1270
450.0,692.3134,21135360,75091,281,129,-6.059991189506506e-17,-1.9281287677586078e-11,0.8839366659522057,0.03040165640413761,0.0,0.06189071672717546,0.2,0.0003,0.0,1280
450.0,696.6065,21299200,75696,281,130,-4.949011055608702e-17,1.446949227101868e-10,0.8758286014199257,0.01568831503391266,0.0,0.06373820546006755,0.2,0.0003,0.0,1290
450.0,696.20416,21463040,76300,281,131,-8.311274345994979e-17,8.394749784201849e-11,0.8920019641518593,0.008752004243433475,0.0,0.05301064963929093,0.2,0.0003,0.0,1300
450.0,696.72845,21626880,76896,281,132,-7.18677927105985e-17,1.3878320714866277e-11,0.8780156075954437,0.025507332757115364,0.0,0.0680114809468978,0.2,0.0003,0.0,1310
450.0,694.572,21790720,77494,281,133,-9.243181392191953e-17,4.181401891401038e-11,0.883990928530693,0.0171566903591156,0.0,0.05841121377186937,0.2,0.0003,0.0,1320
450.0,695.8342,21954560,78092,281,134,-4.835787257137471e-17,7.840185389795806e-11,0.8805644810199738,0.07784225046634674,0.0,0.06386404961560402,0.2,0.0003,0.0,1330
450.0,700.79376,22118400,78689,281,135,-2.3770774357419553e-16,3.937657311325893e-11,0.8853126987814903,0.010800785385072231,0.0,0.06265801652321898,0.2,0.0003,0.0,1340
450.0,691.8833,22282240,79285,281,136,-5.954445306450586e-17,-2.156411937903613e-11,0.8845910280942917,0.01990984007716179,0.0,0.06485659933203351,0.2,0.0003,0.0,1350
450.0,696.20264,22446080,79882,280,137,-7.023920209919765e-17,1.8735590856522322e-12,0.8296024650335312,0.011088717728853226,0.0,0.06165538778739574,0.2,0.0003,0.0,1360
450.0,692.04724,22609920,80477,280,138,-5.351981524343753e-17,9.245837873095298e-11,0.8729299604892731,0.010319624096155167,0.0,0.061891706957321733,0.2,0.0003,0.0,1370
450.0,690.42474,22773760,81077,280,139,-6.022807468572462e-17,1.0296275831933599e-10,0.8529391884803772,0.012824838981032372,0.0,0.0758664708827564,0.2,0.0003,0.0,1380
450.0,696.74536,22937600,81673,280,140,-6.082998276613607e-17,-3.2028992791310886e-11,0.8797662034630775,0.012148882262408733,0.0,0.05407188914530707,0.2,0.0003,0.0,1390
450.0,694.33185,23101440,82273,280,141,-5.826438305087016e-17,-1.1581278158701025e-11,0.8886824399232864,0.011772185564041138,0.0,0.05872295677227157,0.2,0.0003,0.0,1400
