time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/entropy_loss
109,1429.7401,13393920,388.53333333333336,764,17530,-0.01405944960921867,0.2,0.0002,0.1286352,0.5032552083333334,0.05482464429289394,0.8630978316068649,1080,0.016660984605550766,-1.8594140220743915
110,1567.8425,13516800,414.8666666666667,763,17694,-0.013717747095239853,0.2,0.0002,0.1264349,0.5000691731770833,0.05276645319948633,0.8707203269004822,1090,-0.004514360800385475,-1.8532702571774522
111,1382.18,13639680,374.6666666666667,763,17858,-0.013830768775078469,0.2,0.0002,0.1268461,0.4986954752604167,0.05529642466210741,0.8890559524297714,1100,-0.030671076849102974,-1.8531457782909273
112,1480.6211,13762560,392.06666666666666,763,18027,-0.011372380985576455,0.2,0.0002,0.1290435,0.50085693359375,0.05241474308468848,0.8881238475441933,1110,-0.01126977801322937,-1.8141264374678334
113,1472.9253,13885440,391.4,763,18194,-0.01302897655963534,0.2,0.0002,0.13054688,0.49825113932291665,0.06159297139599706,0.8861959055066109,1120,0.01302966196089983,-1.8151062280498445
114,1563.616,14008320,416.8666666666667,762,18361,-0.01346819945333967,0.2,0.0002,0.132476,0.49740152994791664,0.050043615211592014,0.8896276652812958,1130,0.03973289579153061,-1.7920339547346036
115,1460.1951,14131200,388.8,762,18529,-0.012145714241141832,0.2,0.0002,0.1296389,0.49662923177083335,0.05579046486976343,0.8749635219573975,1140,-0.05932451784610748,-1.780385220895211
116,1435.0586,14254080,383.93333333333334,762,18694,-0.012849600771460246,0.2,0.0002,0.12619665,0.49365559895833333,0.05531691097305156,0.8863230496644974,1150,0.00305195152759552,-1.7856696098422011
117,1407.3342,14376960,375.6,760,18893,-0.012592170853296617,0.2,0.0002,0.1309827,0.49615641276041667,0.06488745844001338,0.8648851066827774,1160,0.0025889091193675995,-1.7610033062597117
118,1539.7736,14499840,420.93333333333334,759,19085,-0.011587890568407602,0.2,0.0002,0.13273984,0.495234375,0.06643936621558776,0.8730396777391434,1170,0.03654399514198303,-1.7504803501628339
