rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/approx_kl,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range
1479.0422,25099,949,422.1,194,23838720,0.030216666,0.07462228089570999,1930,-2.8622189954047403,0.12069960502635999,0.0003,0.8045620918273926,-0.005322508343585166,0.24907796223958334,0.2
1552.6648,25230,949,443.16,195,23961600,0.030403512,0.050592418760061264,1940,-2.849919622130692,0.11266916709205058,0.0003,0.7968209683895111,-0.00617448648837429,0.25026041666666665,0.2
1507.1556,25360,949,429.2,196,24084480,0.030003881,0.09076552093029022,1950,-2.905878094136715,0.11335655258502811,0.0003,0.8030347973108292,-0.006365845668436426,0.24912841796875,0.2
1533.1099,25491,949,431.44,197,24207360,0.030874725,0.018520943820476532,1960,-2.8881677576899527,0.10698790395865217,0.0003,0.8072293400764465,-0.006567111134457567,0.24986735026041668,0.2
1546.3918,25621,949,440.1,198,24330240,0.0296199,0.014448408037424088,1970,-2.8876743348439535,0.11601956275534273,0.0003,0.796735942363739,-0.005938328897021468,0.24793863932291665,0.2
1543.9834,25752,949,443.22,199,24453120,0.030567247,0.016538430005311966,1980,-2.8735977416609724,0.11226104770622139,0.0003,0.7982306033372879,-0.005682473379259439,0.24790201822916666,0.2
1464.3949,25882,949,413.82,200,24576000,0.030892435,0.022536832839250565,1990,-2.866220641322434,0.11836203063372523,0.0003,0.8165725767612457,-0.006237551543399604,0.25004475911458335,0.2
1553.9114,26015,949,437.56,201,24698880,0.030898275,0.04266241565346718,2000,-2.8797730522726974,0.12494499066485636,0.0003,0.8134134858846664,-0.006281822925678473,0.24912841796875,0.2
1536.1188,26149,949,432.26,202,24821760,0.030488618,0.027103343978524208,2010,-2.8460472215339543,0.1251458071079105,0.0003,0.7646932154893875,-0.00581489188809428,0.25194661458333334,0.2
1556.1907,26279,949,438.44,203,24944640,0.030884558,0.1260482370853424,2020,-2.851904107655088,0.1145330421232696,0.0003,0.8124308735132217,-0.006562613346777653,0.2527742513020833,0.2
1549.3341,26410,949,438.42,204,25067520,0.031438213,0.03313302621245384,2030,-2.8221101105834046,0.11793525247388364,0.0003,0.7852909415960312,-0.006635611536421493,0.254931640625,0.2
1486.1162,26542,949,419.68,205,25190400,0.03158431,0.030031023547053337,2040,-2.7801584830507635,0.1187080830228903,0.0003,0.7850401997566223,-0.006943577103220378,0.2552791341145833,0.2
1487.415,26672,949,419.1,206,25313280,0.032521866,0.003556099720299244,2050,-2.796460248914858,0.12709588021301899,0.0003,0.7894828766584396,-0.006487652358746345,0.25822509765625,0.2
