time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/clip_range,train/n_updates,train/policy_gradient_loss
9270,416.28708,450.0,967,73,8970240,0.24817138671875,0.012180369347333908,0.022698643,0.0003,0.09314001425533207,0.2856156826019287,-3.623539631664753,0.2,720,-0.006473069026002728
9400,411.484,450.0,967,74,9093120,0.24774251302083333,-0.011399516835808754,0.02338961,0.0003,0.09932092236364648,0.3522617816925049,-3.600367412579556,0.2,730,-0.006727805875125341
9528,413.91156,450.0,967,75,9216000,0.2506412760416667,0.0388689786195755,0.023374937,0.0003,0.0914529981167531,0.3642684817314148,-3.613419545404613,0.2,740,-0.006895249194579568
9657,419.1101,450.0,966,76,9338880,0.24735921223958332,0.05016598105430603,0.022853225,0.0003,0.09799266444257228,0.35986560583114624,-3.6117734436566633,0.2,750,-0.0065250270297307605
9787,418.59863,450.0,966,77,9461760,0.24635009765625,0.024483200162649155,0.023047619,0.0003,0.0881611054998939,0.3137170076370239,-3.596224351177613,0.2,760,-0.006318055771516811
9917,408.98325,450.0,966,78,9584640,0.2466650390625,0.040794000029563904,0.023065262,0.0003,0.10143456650218771,0.3293887972831726,-3.602150521352887,0.2,770,-0.00686006420170088
10047,410.35684,450.0,966,79,9707520,0.24258382161458333,0.022154824808239937,0.022862813,0.0003,0.09705077333448571,0.45079028606414795,-3.582017365706464,0.2,780,-0.006964335668120232
10177,417.80472,450.0,965,80,9830400,0.24299641927083335,0.022998780012130737,0.02259488,0.0003,0.10141370283672586,0.41838186979293823,-3.5830727624396483,0.2,790,-0.006059215306965295
10307,412.62164,450.0,965,81,9953280,0.24674153645833333,0.061267293989658356,0.023555696,0.0003,0.10109932548827298,0.43376338481903076,-3.5704158653567233,0.2,800,-0.007531798929800667
10436,403.39987,450.0,965,82,10076160,0.24562662760416668,0.004961315542459488,0.023840161,0.0003,0.097325403275269,0.5459180474281311,-3.5487108717486264,0.2,810,-0.0076568332001746365
10582,421.23972,450.0,963,83,10199040,0.2463232421875,0.025917302817106247,0.023151983,0.0003,0.09482327560869938,0.49608176946640015,-3.5671298436572156,0.2,820,-0.007169352049404551
