time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,train/clip_fraction,train/learning_rate,train/approx_kl,train/loss
956,1397.588,27234,26050560,212,384.4,-2.4068895288494727,-0.005725272737502868,0.8786078914999962,0.2,0.1219048262705716,2110,0.2744441731770833,0.0003,0.03348182,0.006528472527861595
956,1566.9447,27362,26173440,213,429.6,-2.3648102050522963,-0.005533251393511213,0.9118671491742134,0.2,0.11546710850408999,2120,0.27202718098958334,0.0003,0.033337362,0.05641944333910942
956,1538.2754,27491,26296320,214,417.93333333333334,-2.387422173532347,-0.005589711366525686,0.8739676028490067,0.2,0.15168261243141992,2130,0.27846435546875,0.0003,0.03375958,0.015055052936077118
955,1585.0248,27648,26419200,215,434.1333333333333,-2.3540996605344118,-0.005192454672069289,0.8807343766093254,0.2,0.13580416932478936,2140,0.2709781901041667,0.0003,0.033589277,0.03397565707564354
954,1457.4994,27805,26542080,216,402.73333333333335,-2.3778065115834277,-0.005512014769489421,0.8744533210992813,0.2,0.12198350421953365,2150,0.27033854166666665,0.0003,0.033458028,0.03527943789958954
954,1478.6683,27934,26664960,217,411.4,-2.3575212841667237,-0.005556303328946039,0.8903702348470688,0.2,0.14292718783942596,2160,0.27419921875,0.0003,0.034471903,0.0659913495182991
954,1366.468,28062,26787840,218,376.26666666666665,-2.3524436063319443,-0.005481225340563469,0.8721257597208023,0.2,0.12123948478649255,2170,0.274658203125,0.0003,0.034085922,0.021634887903928757
953,1352.668,28215,26910720,219,381.4,-2.2896885277641315,-0.004464337671703712,0.9012879133224487,0.2,0.19075400471129494,2180,0.27368570963541666,0.0003,0.035056848,0.06238522380590439
953,1603.2887,28341,27033600,220,435.8,-2.328734147902578,-0.004690524577514831,0.898597352206707,0.2,0.16530903551368586,2190,0.27416015625,0.0003,0.035313115,0.0667339339852333
953,1311.089,28469,27156480,221,376.6666666666667,-2.3616581162872414,-0.005471197769011269,0.8924867510795593,0.2,0.12490574867110506,2200,0.27264404296875,0.0003,0.033745527,0.0975794643163681
953,1392.301,28596,27279360,222,384.0,-2.365694774153332,-0.005558639994572635,0.8922894671559334,0.2,0.1415824084406874,2210,0.27555989583333335,0.0003,0.03482849,0.0593041367828846
954,1340.154,28723,27402240,223,384.06666666666666,-2.3505273900118966,-0.005404022711621413,0.8801436349749565,0.2,0.14062030371598666,2220,0.2785595703125,0.0003,0.03553141,0.502242386341095
953,1479.2946,28854,27525120,224,419.4,-2.3395417587893705,-0.005847980935165348,0.8637577891349792,0.2,0.13134492101763803,2230,0.27940511067708335,0.0003,0.035877507,0.12152276188135147
953,1414.4829,28982,27648000,225,388.0,-2.328218548167497,-0.005282644546086885,0.8514822274446487,0.2,0.14247924683246918,2240,0.27346598307291664,0.0003,0.03418513,0.01730509102344513
953,1590.3466,29117,27770880,226,450.0,-2.3118112838702896,-0.005183697155819876,0.8380122184753418,0.2,0.15767087803295,2250,0.27389404296875,0.0003,0.035597164,0.04353971779346466
953,1531.3092,29244,27893760,227,431.06666666666666,-2.2914525660375755,-0.004339016344977911,0.8492478728294373,0.2,0.15931855232212305,2260,0.2702718098958333,0.0003,0.03470392,0.04416957497596741
953,1328.6177,29371,28016640,228,376.2,-2.2536156338391207,-0.005227142801444037,0.8528436869382858,0.2,0.16571609826511122,2270,0.2738753255208333,0.0003,0.035523944,0.004437841475009918
953,1253.1696,29500,28139520,229,349.73333333333335,-2.262577195211003,-0.005265544349234309,0.8874064385890961,0.2,0.1713804865226848,2280,0.2714973958333333,0.0003,0.036085192,0.0444779209792614
953,1297.9655,29641,28262400,230,365.93333333333334,-2.2528361796587704,-0.004895887453167234,0.8751285448670387,0.2,0.16226280910981586,2290,0.2714567057291667,0.0003,0.03474464,0.11286753416061401
953,1557.3113,29770,28385280,231,425.3333333333333,-2.226737495989849,-0.004597757969604572,0.8935141935944557,0.2,0.15767590706828438,2300,0.26918375651041665,0.0003,0.034247722,0.0856599360704422
953,1511.4244,29898,28508160,232,412.53333333333336,-2.2407989551002783,-0.005017240116212633,0.8665655702352524,0.2,0.14737547402328346,2310,0.26897542317708334,0.0003,0.034925707,0.0890779197216034
953,1430.3728,30025,28631040,233,404.8666666666667,-2.2403701787131527,-0.005029430503709591,0.8567973226308823,0.2,0.1400278457578194,2320,0.26439046223958335,0.0003,0.03364769,0.027466556057333946
953,1467.2203,30152,28753920,234,403.8,-2.2585017758980395,-0.00528615197283519,0.8756436184048653,0.2,0.13990497116406914,2330,0.2689127604166667,0.0003,0.034365546,0.2412581741809845
953,1628.9349,30279,28876800,235,439.46666666666664,-2.250874039332072,-0.005626064303178282,0.8827852234244347,0.2,0.14561184735119848,2340,0.27031901041666667,0.0003,0.033879764,0.03343810513615608
953,1556.7765,30406,28999680,236,432.2,-2.262453191479047,-0.005910617553284586,0.8766180574893951,0.2,0.12129625122610985,2350,0.26477783203125,0.0003,0.033087485,0.158732607960701
953,1529.9896,30531,29122560,237,416.73333333333335,-2.242711263243109,-0.005527856891803822,0.8710904866456985,0.2,0.12292756052828432,2360,0.2652506510416667,0.0003,0.033463065,-0.011677924543619156
953,1501.8308,30657,29245440,238,421.8666666666667,-2.246595589108765,-0.004717580251938974,0.8657108694314957,0.2,0.15322674784125412,2370,0.2674226888020833,0.0003,0.033992242,0.08786796033382416
953,1535.7427,30803,29368320,239,425.26666666666665,-2.226907285228372,-0.005113780985035798,0.8689815551042557,0.2,0.13306867218658833,2380,0.26628499348958334,0.0003,0.033396,0.16526968777179718
952,1489.1238,30946,29491200,240,418.6666666666667,-2.228500981349498,-0.005113443609055442,0.8760218471288681,0.2,0.13542559647888994,2390,0.26238525390625,0.0003,0.03334896,-0.01116790622472763
953,1609.5438,31073,29614080,241,438.93333333333334,-2.211928142365068,-0.004986307101486697,0.8900670632719994,0.2,0.156277472172369,2400,0.26271728515625,0.0003,0.033944212,0.035959381610155106
953,1528.0323,31202,29736960,242,423.26666666666665,-2.2181376560466983,-0.0052606037283658225,0.8901403546333313,0.2,0.15006756456709505,2410,0.26605712890625,0.0003,0.033910464,0.06073334068059921
953,1265.2024,31330,29859840,243,351.53333333333336,-2.230826222865532,-0.005602415310246822,0.8820761740207672,0.2,0.11376823238485183,2420,0.2617390950520833,0.0003,0.03329943,0.02075543999671936
953,1507.2181,31457,29982720,244,406.8,-2.2005638472177087,-0.005512509230071979,0.8818892613053322,0.2,0.14495100096062136,2430,0.26507486979166667,0.0003,0.034079894,0.023004921153187752
953,1368.8633,31584,30105600,245,375.8,-2.2370873586957654,-0.005012451792163119,0.8884813636541367,0.2,0.1450613756403133,2440,0.2651570638020833,0.0003,0.033340976,0.019120721146464348
953,1382.4386,31711,30228480,246,383.8,-2.216017138188084,-0.004793298287104335,0.8711908161640167,0.2,0.150202884018654,2450,0.26705729166666664,0.0003,0.034485757,0.010188741609454155
953,1372.5872,31838,30351360,247,384.06666666666666,-2.2079677925631405,-0.0050020171440579965,0.8543321639299393,0.2,0.14728716650385953,2460,0.2605224609375,0.0003,0.033258688,0.0781484916806221
