time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/value_loss,train/loss,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction
121,262,19824640,450.0,75421,568.56335,-2.0779680198756978e-11,0.0,0.7417144477367401,0.10716854534945014,0.05284092575311661,0.2,0.0003,1200,-3.1551283576804564e-17,0.0
122,262,19988480,450.0,76050,563.2949,-1.4857278074487111e-10,0.0,0.7801245450973511,0.08504938132798998,0.04804755747318268,0.2,0.0003,1210,-2.4125092624762545e-17,0.0
123,262,20152320,450.0,76686,580.59534,8.040615284699015e-11,0.0,0.7287611365318298,0.11957766457224352,0.06969179958105087,0.2,0.0003,1220,-2.491429529144338e-17,0.0
124,262,20316160,450.0,77311,583.51685,1.4017700777912978e-10,0.0,0.7818154841661453,0.09740767487904123,0.009888566099107265,0.2,0.0003,1230,-2.9946506212572395e-17,0.0
125,262,20480000,450.0,77934,562.30096,6.809159458498471e-11,0.0,0.7635042071342468,0.10964781051356112,0.06869738548994064,0.2,0.0003,1240,-3.623969268039647e-17,0.0
126,262,20643840,450.0,78567,572.6693,1.2530790627351962e-10,0.0,0.7909804731607437,0.0900758282919469,0.1735592633485794,0.2,0.0003,1250,-2.718845719558109e-17,0.0
127,262,20807680,450.0,79197,549.0986,1.2711325325653889e-11,0.0,0.7497469782829285,0.10880019675547374,0.08153002709150314,0.2,0.0003,1260,-4.094823546094404e-17,0.0
128,262,20971520,450.0,79833,561.9673,1.0911435310845263e-10,0.0,0.7915439754724503,0.09061672865997025,0.1538613736629486,0.2,0.0003,1270,-2.6257043190587923e-17,0.0
129,262,21135360,450.0,80471,577.72754,-2.93493940262124e-11,0.0,0.733190655708313,0.10564874764113483,0.07199391722679138,0.2,0.0003,1280,-2.4077556177307772e-17,0.0
130,262,21299200,450.0,81100,558.10895,-1.5324985724873842e-11,0.0,0.7114834487438202,0.12343425683757232,0.07730318605899811,0.2,0.0003,1290,-2.6522146404966806e-17,0.0
131,262,21463040,450.0,81736,567.28534,3.0672708817292005e-12,0.0,0.7666129320859909,0.10782387306338932,0.11244156211614609,0.2,0.0003,1300,-2.0734713568960544e-17,0.0
132,262,21626880,450.0,82373,561.79895,1.9268213691248094e-11,0.0,0.7279827892780304,0.12703251545151942,0.06917310506105423,0.2,0.0003,1310,-2.621285611844983e-17,0.0
133,262,21790720,450.0,83002,565.21216,1.4694023775518872e-10,0.0,0.7509990334510803,0.10616854843568944,0.006588261108845472,0.2,0.0003,1320,-2.3663186242531137e-17,0.0
134,262,21954560,450.0,83639,560.4699,7.922153599793092e-11,0.0,0.7244844138622284,0.12838157065951236,0.09498116374015808,0.2,0.0003,1330,-2.5190567274707897e-17,0.0
135,262,22118400,450.0,84275,556.3016,2.1427695173770188e-11,0.0,0.7608417123556137,0.10288846574178023,0.09153109043836594,0.2,0.0003,1340,-2.2543224172892373e-17,0.0
136,262,22282240,450.0,84901,564.2932,6.535572083521402e-11,0.0,0.72617506980896,0.12723344166819517,0.05140974000096321,0.2,0.0003,1350,-3.162408455587278e-17,0.0
137,262,22446080,450.0,85535,563.36145,-9.356710961583303e-12,0.0,0.7751381993293762,0.10346006308298455,0.03649359196424484,0.2,0.0003,1360,-2.4699014450075043e-17,0.0
138,262,22609920,450.0,86169,568.4704,-5.862602847628295e-11,0.0,0.7360606789588928,0.12113272577253156,0.02198372781276703,0.2,0.0003,1370,-3.564516321377155e-17,0.0
139,262,22773760,450.0,86812,571.5348,-7.031189852568787e-11,0.0,0.72389155626297,0.1254345389591981,0.08124728500843048,0.2,0.0003,1380,-2.1394787758415596e-17,0.0
140,262,22937600,450.0,87443,557.14233,-8.557037745049456e-11,0.0,0.7440641820430756,0.10312892462385208,0.025537637993693352,0.2,0.0003,1390,-2.975639635697907e-17,0.0
141,262,23101440,450.0,88078,571.38904,3.543846105458215e-11,0.0,0.7052244544029236,0.12484430727663494,0.09179098159074783,0.2,0.0003,1400,-3.419294508906262e-17,0.0
142,262,23265280,450.0,88714,571.0315,-1.1965539670200087e-11,0.0,0.7449609041213989,0.10324506320359433,0.05062806233763695,0.2,0.0003,1410,-3.046129424464716e-17,0.0
143,262,23429120,450.0,89349,585.95776,8.645656635053456e-11,0.0,0.703699141740799,0.11462211251215194,0.06715241074562073,0.2,0.0003,1420,-3.3638149577409626e-17,0.0
144,262,23592960,450.0,89978,571.66254,-1.823605089157354e-10,0.0,0.7172121107578278,0.0999420890165402,0.009690609760582447,0.2,0.0003,1430,-2.7332223103187388e-17,0.0
145,262,23756800,450.0,90608,571.22046,-7.051539796520956e-11,0.0,0.7180469036102295,0.12011073857865995,0.1365489363670349,0.2,0.0003,1440,-2.821229432415311e-17,0.0
146,262,23920640,450.0,91267,577.6165,-9.413042789674364e-11,0.0,0.8199297487735748,0.09729720992570037,0.06909843534231186,0.2,0.0003,1450,-2.2116967391661747e-17,0.0
